n_robots,mean_len,total_len,operation_time,total_time
1,7.93,7.93,40.7,40.7
2,7.41,14.82,40.8,78.5
3,7.6,22.81,41.51,122.71
4,7.55,30.21,41.51,158.48
5,8.19,40.97,52.56,235.99
5,7.85,39.24,44.84,213.66
5,7.71,38.53,46.93,220.76
6,7.96,47.79,50.89,286.9
6,7.49,44.93,44.88,246.59
6,8.28,49.7,67.55,290.78
7,6.93,48.49,45.12,268.97
7,6.98,48.89,51.54,281.28
7,7.02,49.11,58.42,301.66
8,6.67,53.39,47.66,299.58
8,6.89,55.14,53.65,332.42
8,6.8,54.4,54.52,331.45
9,7.16,64.41,57.7,420.81
9,7.4,66.58,54.54,352.68
9,7.3,65.67,53.94,372.21
9,7.42,66.76,60.88,379.62
10,6.84,68.44,53.43,384.67
10,7.19,71.91,83.85,517.22
11,7.18,78.96,56.88,470.59
11,7.45,81.92,69.21,485.28
11,7.53,82.87,70.75,474.71
11,7.63,83.89,100.49,667.23
11,8.25,90.79,64.67,513.96
12,7.58,91.01,61.54,536.62
12,8.17,98.01,77.26,601.22
12,8.01,96.07,116.8,780.14
12,7.48,89.78,64.94,520.23
13,7.41,96.35,62.66,582.25
13,7.59,98.73,66.62,585.99
13,7.8,101.42,118.42,789.27
14,6.9,96.62,59.93,611.5
14,7.84,109.73,77.64,669.75
14,7.63,106.8,82.94,657.39
14,8.37,117.11,155.29,1130.29
14,7.76,108.58,64.59,652.67
15,7.74,116.11,81.75,745.6
15,7.7,115.47,70.23,705.57
15,7.49,112.42,116.59,877.97
15,7.15,107.2,63.13,639.23
15,7.42,111.31,68.5,703.58
