robot_count,mean_len,total_len,operation_time,total_time
1,0.0,0.0,0.0,0.0
1,8.26,8.26,42.6,42.6
2,7.77,15.54,42.4,82.4
3,7.9,23.71,42.76,128.01
4,7.91,31.64,42.92,168.41
5,8.06,40.32,49.03,217.65
6,7.43,44.57,46.79,250.22
6,7.43,44.59,45.54,249.49
6,7.55,45.32,46.7,248.93
6,7.53,45.2,47.63,250.11
6,8.03,48.18,49.22,271.41
7,7.04,49.27,60.22,286.56
7,7.32,51.23,64.36,293.08
7,7.11,49.79,53.64,288.88
7,7.37,51.62,49.2,285.37
8,7.32,58.59,58.65,350.94
8,7.36,58.84,54.9,324.81
8,7.68,61.42,63.78,350.58
8,7.43,59.42,69.76,362.78
9,7.92,71.29,69.45,422.34
9,7.83,70.44,61.35,406.55
9,7.99,71.91,73.46,427.76
9,7.47,67.27,56.99,385.29
9,7.64,68.76,56.44,399.85
10,7.37,73.73,58.5,446.03
10,7.28,72.81,62.51,418.71
10,7.31,73.08,65.56,446.57
10,7.52,75.17,59.12,437.09
10,8.07,80.74,94.79,504.85
11,8.1,89.11,95.89,595.42
11,7.51,82.63,65.29,481.23
11,7.76,85.32,67.79,518.14
11,7.79,85.72,76.31,515.65
11,8.46,93.06,114.57,647.22
11,7.55,83.07,67.9,516.35
12,7.55,90.61,81.64,604.5
12,8.07,96.82,75.6,623.03
12,8.3,99.61,104.96,653.79
12,7.67,92.09,82.83,618.78
12,7.7,92.39,72.26,537.87
12,7.83,94.02,76.07,614.78
12,8.21,98.58,63.39,600.37
12,8.59,103.05,79.35,621.25
12,8.22,98.62,72.39,632.38
13,7.67,99.69,64.55,633.7
13,8.34,108.42,78.05,677.12
13,8.23,107.04,88.36,716.97
13,8.96,116.45,92.03,818.86
13,8.06,104.74,98.55,665.68
13,7.94,103.23,84.78,769.02
13,8.55,111.1,79.49,699.68
13,9.41,122.32,100.19,845.71
14,7.55,105.64,83.7,634.08
14,8.51,119.13,82.47,730.17
14,7.92,110.94,91.14,752.86
14,7.72,108.1,72.36,644.47
14,8.31,116.28,108.09,758.71
14,9.07,126.95,117.86,888.4
14,8.04,112.52,103.47,762.9
14,7.91,110.73,97.92,694.25
14,8.99,125.84,95.25,838.77
15,9.03,135.46,85.15,865.77
15,8.34,125.14,90.42,826.12
15,8.78,131.71,111.23,801.66
15,8.44,126.6,103.74,844.34
15,8.85,132.78,101.09,866.77
15,8.88,133.17,94.73,862.95
