robot_count,mean_len,total_len,operation_time,total_time
1,8.17,8.17,42.0,42.0
2,7.67,15.35,42.0,81.1
3,7.84,23.51,42.72,125.98
4,7.78,31.13,43.31,163.73
5,8.32,41.61,46.55,217.69
6,7.95,47.72,51.24,278.13
6,7.86,47.16,47.85,272.35
7,7.27,50.88,51.25,285.69
7,7.48,52.33,51.0,289.82
8,7.07,56.57,48.95,303.61
9,7.5,67.54,57.61,366.2
9,7.43,66.83,59.89,365.27
9,7.55,67.94,59.25,368.04
10,7.32,73.16,55.98,397.66
11,7.58,83.36,58.93,461.03
11,7.64,84.02,62.07,466.19
12,7.81,93.75,61.94,547.5
13,7.76,100.93,68.83,568.05
13,7.83,101.85,70.1,587.54
13,8.32,108.16,84.94,637.21
13,8.51,110.65,85.27,683.46
13,8.78,114.15,94.77,661.19
13,7.61,98.91,60.35,554.44
13,8.38,108.99,73.42,673.99
13,7.71,100.25,63.47,549.76
13,8.52,110.72,93.1,705.97
13,8.29,107.79,76.5,656.36
13,8.3,107.91,68.13,626.75
13,7.91,102.84,64.98,601.12
13,7.99,103.91,73.41,610.74
13,7.98,103.74,68.41,648.33
13,7.91,102.84,82.06,592.15
13,7.88,102.39,71.23,589.38
14,7.91,110.79,69.16,637.54
14,8.07,112.94,80.07,665.62
14,8.21,115.0,93.3,793.05
14,7.55,105.69,65.16,594.77
14,7.71,108.0,72.45,616.29
15,10.1,151.48,107.7,953.41
15,8.62,129.31,105.77,840.1
15,7.93,119.02,70.13,708.29
15,8.61,129.21,82.32,769.64
