test,version,n_robots,mean_len,total_len,operation_time,total_time
1,1,8,4.63,37.08,29.41,195.51
2,1,8,5.82,46.59,46.9,261.64
2,2,8,5.7,45.57,41.17,263.17
3,1,8,4.34,34.69,28.08,200.52
4,1,8,6.28,50.2,45.07,284.15
4,2,8,6.54,52.33,60.67,309.04
5,2,8,5.67,45.39,40.24,252.79
5,1,8,5.57,44.59,38.66,247.7
6,2,8,4.98,39.83,46.13,231.46
6,1,8,4.99,39.9,42.19,224.47
7,1,8,5.35,42.81,34.78,234.97
8,1,8,5.44,43.55,35.6,248.38
9,1,8,4.85,38.83,44.19,216.16
10,1,8,5.36,42.89,44.13,242.98
11,1,8,6.34,50.7,50.8,320.68
12,1,8,5.47,43.78,50.98,273.25
12,2,8,5.12,40.99,39.28,254.39
