test,version,n_robots,mean_len,total_len,operation_time,total_time
,,,,,,
1.0,1.0,8.0,4.63,37.08,29.41,195.51
2.0,1.0,8.0,5.7,45.57,41.17,261.64
3.0,1.0,8.0,4.34,34.69,28.08,200.52
4.0,1.0,8.0,6.28,50.2,45.07,284.15
5.0,1.0,8.0,5.57,44.59,38.66,247.7
6.0,1.0,8.0,4.98,39.83,42.19,224.47
7.0,1.0,8.0,5.35,42.81,34.78,234.97
8.0,1.0,8.0,5.44,43.55,35.6,248.38
9.0,1.0,8.0,4.85,38.83,44.19,216.16
10.0,1.0,8.0,5.36,42.89,44.13,242.98
11.0,1.0,8.0,6.34,50.7,50.8,320.68
12.0,1.0,8.0,5.12,40.99,39.28,254.39
