test,version,robot_count,mean_len,total_len,operation_time,total_time
1,1,8,5.05,40.44,39.87,226.73
2,1,8,4.91,39.25,42.16,227.83
3,1,8,5.86,46.89,38.71,268.24
4,1,8,5.01,40.08,35.53,222.96
5,1,8,6.12,48.99,48.09,295.67
6,2,8,5.47,43.79,37.83,240.16
6,1,8,5.91,47.27,55.39,275.12
7,1,8,4.92,39.33,45.48,221.79
8,2,8,5.73,45.82,49.84,259.65
8,1,8,5.62,44.97,41.31,248.64
9,1,8,5.49,43.94,48.94,265.19
9,2,8,4.99,39.9,34.27,240.05
10,1,8,5.52,44.17,53.66,266.37
11,1,8,5.57,44.56,43.8,264.67
12,1,8,5.15,41.18,31.07,228.66
